Code,Price,Cost
E001,720,13000
E002,12300,13500
E003,10130,13000
E004,860,5000
E005,37700,39000
E006,11700,13000
E007,7700,8500
E008,17063,20000
E009,20700,23000
E010,20563,23000
E011,18700,20000
E012,21200,26000
E013,17200,18500
E014,15300,16500
E015,4250,5000
E016,41210,45000
E017,500,2500
E018,15550,23000
E019,23000,24000
E020,5000,6000
E021,40000,50000
E022,12900,17000
E023,7859,14500
E024,17127,28000
E025,13800,20000
E026,800,2000
E027,5330,7500
E029,8600,9000
E030,57200,60000
E032,19150,21000
E033,21700,26000
E034,5000,7000
E035,4300,5500
E036,23750,26000
E037,14700,16000
E039,31700,33000
E040,41200,43000
F001,23900,30000
F002,52000,54000
F003,30600,32000
F004,38000,41000
F005,38200,40000
F006,21600,23000
F007,21500,23000
F008,31200,32000
F009,23000,25000
F010,16800,18500
F011,9300,14000
F012,41000,55000
F013,5700,9000
F014,25900,42000
F015,4500,6000
F016,18950,22500
F017,3280,6000
F018,17880,26000
F019,13700,17000
F020,8800,10000
F021,9800,11000
F022,30000,31000
F023,7500,8000
F024,75000,78000
F025,11800,12500
F026,35500,36500
F0260,17750,19000
F027,10386,25000
F028,35350,37500
F029,16500,18000
F030,20200,23000
F031,16000,17000
F032,23000,31000
F033,20500,30000
F034,35500,38000
F035,23000,31000
F036,3900,4500
F037,3500,4300
F039,3060,6000
F040,33900,35000
F041,36300,42000
F042,105575,106600
G001,2710,4000
G002,48000,52000
G003,23200,26000
G004,30000,31000
G005,11500,14000
G006,19500,26000
G007,13000,14000
G008,12500,14000
G009,12400,13500
G010,12300,13500
G012,11700,14500
G013,12200,14500
G014,17630,25000
G015,15140,24000
G016,3000,4000
G017,4920,4000
G018,13500,7000
G019,13625,16000
G020,16500,17000
G021,2100,3000
G022,2800,3000
G023,13200,15000
G024,10000,13500
G025,10231,17000
G026,900,1500
G027,14000,16000
G028,14200,15000
G029,24500,26500
G030,24400,27000
G031,23000,26000
G032,22700,16000
G033,12800,16500
G034,6999,16000
G035,21700,25000
G036,11000,16000
G037,12800,16000
G038,14500,16000
G039,24300,20500
G040,4050,600
G041,8900,12000
G042,8900,12000
G043,8900,12000
G044,8900,12000
G045,55300,68000
G046,55300,68000
G047,9200,12000
G048,8900,12500
G049,11500,12500
G050,16000,16500
G051,15800,16500
G052,15300,16500
G053,9600,10500
G054,17300,20000
G055,13700,16000
G057,16700,18000
G058,10250,14000
G059,19500,26000
G060,11500,14000
G061,212500,240000
G062,18500,20000
G063,14500,15500
G064,17500,19500
G065,56800,68000
G066,14000,16000
G067,373000,410000
G068,15500,16000
G069,16900,17000
G070,14700,16000
G071,15800,17000
G072,53200,60000
G073,14700,16500
G074,17000,18000
G078,13000,16500
G079,23000,24000
G081,8000,9000
H001,54300,66000
H002,10860,16000
H003,50000,51000
H004,51750,56000
H005,58400,72000
H006,65000,70000
H007,6350,8000
H008,5500,6000
H009,13450,15000
H014,1476,3000
H017,13200,16000
H018,78000,80000
H019,233600,260000
H020,50000,55000
K001,112700,114000
K002,111725,115800
K003,40000,70000
K004,40000,50000
K005,91300,115000
K006,109500,125000
K007,112600,125000
K008,115650,135000
K009,80800,90000
K010,83025,90000
K011,105575,106600
K012,74825,80000
M001,12000,14000
M002,12000,16000
M003,12800,16000
M005,13800,20000
M006,215200,240000
M007,116800,120000
M008,108650,152000
M009,152000,155000
M010,21000,23000
M015,31000,38900
O2,5000,6000
S001,9500,24000
S002,9300,11000
S006,7800,9500
S007,8000,9500
S008,2000,11000
S009,2000,3000
S010,6000,8500
S011,5000,7000
S014,7500,8500
S018,6000,7000
S022,7000,8000
S031,5500,6000
S032,14000,16500
S033,7000,9000
S034,1200,1500
S035,3500,4000
S036,7000,8000
S037,7000,8000
S038,7000,8000
S039,7000,8000
S040,6000,7000
S041,14500,16500
S042,4000,5000
S043,6500,7500
S050,1000,1500
S100,950,1500
